"R_growth_cyano","R_growth_green","R_growth_diatom","w_p_cyano","w_p_green","w_p_diatom","deviation","datetime","variable","prediction"
3,2,3,0.2,-0.13,-0.15,0,2016-12-02,"PHY_tchla_1.6",1.67143127277426
3,2,3,0.2,-0.13,-0.15,0,2016-12-03,"PHY_tchla_1.6",1.6414503412229
3,2,3,0.2,-0.13,-0.15,0,2016-12-04,"PHY_tchla_1.6",1.61577576593819
3,2,3,0.2,-0.13,-0.15,0,2016-12-05,"PHY_tchla_1.6",1.58995119069634
3,2,3,0.2,-0.13,-0.15,0,2016-12-06,"PHY_tchla_1.6",1.57430466754991
3,2,3,0.2,-0.13,-0.15,0,2016-12-07,"PHY_tchla_1.6",1.56539718803698
3,2,3,0.2,-0.13,-0.15,0,2016-12-08,"PHY_tchla_1.6",1.54892906223366
3,2,3,0.2,-0.13,-0.15,0,2016-12-09,"PHY_tchla_1.6",1.5318594951733
3,2,3,0.2,-0.13,-0.15,0,2016-12-10,"PHY_tchla_1.6",1.54010118231788
3,2,3,0.2,-0.13,-0.15,0,2016-12-11,"PHY_tchla_1.6",1.55310745839003
3,2,3,0.2,-0.13,-0.15,0,2016-12-12,"PHY_tchla_1.6",1.56928545753963
3,2,3,0.2,-0.13,-0.15,0,2016-12-13,"PHY_tchla_1.6",1.59001326304099
3,2,3,0.2,-0.13,-0.15,0,2016-12-14,"PHY_tchla_1.6",1.61413263218497
3,2,3,0.2,-0.13,-0.15,0,2016-12-15,"PHY_tchla_1.6",1.64055136332987
3,2,3,0.2,-0.13,-0.15,0,2016-12-16,"PHY_tchla_1.6",1.6949622931392
3,2,3,0.2,-0.13,-0.15,0,2016-12-17,"PHY_tchla_1.6",1.741966261224
3,2,3,0.2,-0.13,-0.15,0,2016-12-18,"PHY_tchla_1.6",1.80049098056739
3,2,3,0.2,-0.13,-0.15,0,2016-12-19,"PHY_tchla_1.6",1.87623586480125
3,2,3,0.2,-0.13,-0.15,0,2016-12-20,"PHY_tchla_1.6",1.96190439011994
3,2,3,0.2,-0.13,-0.15,0,2016-12-21,"PHY_tchla_1.6",2.03902162719753
3,2,3,0.2,-0.13,-0.15,0,2016-12-22,"PHY_tchla_1.6",2.14108726738749
3,2,3,0.2,-0.13,-0.15,0,2016-12-23,"PHY_tchla_1.6",2.24396816635531
3,2,3,0.2,-0.13,-0.15,0,2016-12-24,"PHY_tchla_1.6",2.36461994228343
3,2,3,0.2,-0.13,-0.15,0,2016-12-25,"PHY_tchla_1.6",2.4462796814913
3,2,3,0.2,-0.13,-0.15,0,2016-12-26,"PHY_tchla_1.6",2.58736381826906
3,2,3,0.2,-0.13,-0.15,0,2016-12-27,"PHY_tchla_1.6",2.66327134715718
3,2,3,0.2,-0.13,-0.15,0,2016-12-28,"PHY_tchla_1.6",2.80619374956044
3,2,3,0.2,-0.13,-0.15,0,2016-12-29,"PHY_tchla_1.6",2.98159738480852
3,2,3,0.2,-0.13,-0.15,0,2016-12-30,"PHY_tchla_1.6",3.18136644968276
3,2,3,0.2,-0.13,-0.15,0,2016-12-31,"PHY_tchla_1.6",3.39653635200291
3,2,3,0.2,-0.13,-0.15,0,2017-01-01,"PHY_tchla_1.6",3.58901804447504
3,2,3,0.2,-0.13,-0.15,0,2017-01-02,"PHY_tchla_1.6",3.86464284207111
3,2,3,0.2,-0.13,-0.15,0,2017-01-03,"PHY_tchla_1.6",4.03924994976257
3,2,3,0.2,-0.13,-0.15,0,2017-01-04,"PHY_tchla_1.6",4.29518354079496
3,2,3,0.2,-0.13,-0.15,0,2017-01-05,"PHY_tchla_1.6",4.46644977857797
3,2,3,0.2,-0.13,-0.15,0,2017-01-06,"PHY_tchla_1.6",4.70318450603631
3,2,3,0.2,-0.13,-0.15,0,2017-01-07,"PHY_tchla_1.6",4.92216057504215
3,2,3,0.2,-0.13,-0.15,0,2017-01-08,"PHY_tchla_1.6",5.2327417613052
3,2,3,0.2,-0.13,-0.15,0,2017-01-09,"PHY_tchla_1.6",5.81844589748826
3,2,3,0.2,-0.13,-0.15,0,2017-01-10,"PHY_tchla_1.6",6.29817922237587
3,2,3,0.2,-0.13,-0.15,0,2017-01-11,"PHY_tchla_1.6",6.67823816244337
3,2,3,0.2,-0.13,-0.15,0,2017-01-12,"PHY_tchla_1.6",7.27997175081241
3,2,3,0.2,-0.13,-0.15,0,2017-01-13,"PHY_tchla_1.6",7.52361130132038
3,2,3,0.2,-0.13,-0.15,0,2017-01-14,"PHY_tchla_1.6",8.194808422936
3,2,3,0.2,-0.13,-0.15,0,2017-01-15,"PHY_tchla_1.6",8.93877113907601
3,2,3,0.2,-0.13,-0.15,0,2017-01-16,"PHY_tchla_1.6",9.78780219466865
3,2,3,0.2,-0.13,-0.15,0,2017-01-17,"PHY_tchla_1.6",10.4186617497919
3,2,3,0.2,-0.13,-0.15,0,2017-01-18,"PHY_tchla_1.6",11.0726710758117
3,2,3,0.2,-0.13,-0.15,0,2017-01-19,"PHY_tchla_1.6",11.5499231722931
3,2,3,0.2,-0.13,-0.15,0,2017-01-20,"PHY_tchla_1.6",12.9123383331002
3,2,3,0.2,-0.13,-0.15,0,2017-01-21,"PHY_tchla_1.6",14.2303941126298
3,2,3,0.2,-0.13,-0.15,0,2017-01-22,"PHY_tchla_1.6",14.7580438273919
3,2,3,0.2,-0.13,-0.15,0,2017-01-23,"PHY_tchla_1.6",16.8063963078876
3,2,3,0.2,-0.13,-0.15,0,2017-01-24,"PHY_tchla_1.6",14.7058886887319
3,2,3,0.2,-0.13,-0.15,0,2017-01-25,"PHY_tchla_1.6",15.2816989385394
3,2,3,0.2,-0.13,-0.15,0,2017-01-26,"PHY_tchla_1.6",16.2883406617951
3,2,3,0.2,-0.13,-0.15,0,2017-01-27,"PHY_tchla_1.6",16.9592373171026
3,2,3,0.2,-0.13,-0.15,0,2017-01-28,"PHY_tchla_1.6",16.7927493642255
3,2,3,0.2,-0.13,-0.15,0,2017-01-29,"PHY_tchla_1.6",17.330284212164
3,2,3,0.2,-0.13,-0.15,0,2017-01-30,"PHY_tchla_1.6",17.7271550106717
3,2,3,0.2,-0.13,-0.15,0,2017-01-31,"PHY_tchla_1.6",18.1321385018882
3,2,3,0.2,-0.13,-0.15,0,2017-02-01,"PHY_tchla_1.6",18.5142104474715
3,2,3,0.2,-0.13,-0.15,0,2017-02-02,"PHY_tchla_1.6",18.8215222085981
3,2,3,0.2,-0.13,-0.15,0,2017-02-03,"PHY_tchla_1.6",19.1232793582996
3,2,3,0.2,-0.13,-0.15,0,2017-02-04,"PHY_tchla_1.6",19.1667160852074
3,2,3,0.2,-0.13,-0.15,0,2017-02-05,"PHY_tchla_1.6",18.7431242939112
3,2,3,0.2,-0.13,-0.15,0,2017-02-06,"PHY_tchla_1.6",19.4287731616641
3,2,3,0.2,-0.13,-0.15,0,2017-02-07,"PHY_tchla_1.6",19.497400552048
3,2,3,0.2,-0.13,-0.15,0,2017-02-08,"PHY_tchla_1.6",19.4130552359841
3,2,3,0.2,-0.13,-0.15,0,2017-02-09,"PHY_tchla_1.6",19.3865304606356
3,2,3,0.2,-0.13,-0.15,0,2017-02-10,"PHY_tchla_1.6",19.3345913001439
3,2,3,0.2,-0.13,-0.15,0,2017-02-11,"PHY_tchla_1.6",19.1957816045307
3,2,3,0.2,-0.13,-0.15,0,2017-02-12,"PHY_tchla_1.6",19.2554384957309
3,2,3,0.2,-0.13,-0.15,0,2017-02-13,"PHY_tchla_1.6",18.8385753139731
3,2,3,0.2,-0.13,-0.15,0,2017-02-14,"PHY_tchla_1.6",18.615209214446
3,2,3,0.2,-0.13,-0.15,0,2017-02-15,"PHY_tchla_1.6",18.410817262222
3,2,3,0.2,-0.13,-0.15,0,2017-02-16,"PHY_tchla_1.6",18.2850211147185
3,2,3,0.2,-0.13,-0.15,0,2017-02-17,"PHY_tchla_1.6",18.0708830916046
3,2,3,0.2,-0.13,-0.15,0,2017-02-18,"PHY_tchla_1.6",17.8429749851336
3,2,3,0.2,-0.13,-0.15,0,2017-02-19,"PHY_tchla_1.6",17.6972801478797
3,2,3,0.2,-0.13,-0.15,0,2017-02-20,"PHY_tchla_1.6",17.2478094573761
3,2,3,0.2,-0.13,-0.15,0,2017-02-21,"PHY_tchla_1.6",17.281055721545
3,2,3,0.2,-0.13,-0.15,0,2017-02-22,"PHY_tchla_1.6",17.0342608181169
3,2,3,0.2,-0.13,-0.15,0,2017-02-23,"PHY_tchla_1.6",17.2079595797572
3,2,3,0.2,-0.13,-0.15,0,2017-02-24,"PHY_tchla_1.6",17.5038538686119
3,2,3,0.2,-0.13,-0.15,0,2017-02-25,"PHY_tchla_1.6",17.3620523814535
3,2,3,0.2,-0.13,-0.15,0,2017-02-26,"PHY_tchla_1.6",16.9965046293853
3,2,3,0.2,-0.13,-0.15,0,2017-02-27,"PHY_tchla_1.6",16.6652174365123
3,2,3,0.2,-0.13,-0.15,0,2017-02-28,"PHY_tchla_1.6",16.6533629182814
3,2,3,0.2,-0.13,-0.15,0,2017-03-01,"PHY_tchla_1.6",16.6504636462784
3,2,3,0.2,-0.13,-0.15,0,2017-03-02,"PHY_tchla_1.6",16.5400257915823
3,2,3,0.2,-0.13,-0.15,0,2017-03-03,"PHY_tchla_1.6",15.7904688073149
3,2,3,0.2,-0.13,-0.15,0,2017-03-04,"PHY_tchla_1.6",15.3944456421594
3,2,3,0.2,-0.13,-0.15,0,2017-03-05,"PHY_tchla_1.6",15.0156041081174
3,2,3,0.2,-0.13,-0.15,0,2017-03-06,"PHY_tchla_1.6",15.0715215963264
3,2,3,0.2,-0.13,-0.15,0,2017-03-07,"PHY_tchla_1.6",15.0217352624856
3,2,3,0.2,-0.13,-0.15,0,2017-03-08,"PHY_tchla_1.6",14.6219838629597
3,2,3,0.2,-0.13,-0.15,0,2017-03-09,"PHY_tchla_1.6",14.4343270340029
3,2,3,0.2,-0.13,-0.15,0,2017-03-10,"PHY_tchla_1.6",14.6122332889514
3,2,3,0.2,-0.13,-0.15,0,2017-03-11,"PHY_tchla_1.6",14.0771909538896
3,2,3,0.2,-0.13,-0.15,0,2017-03-12,"PHY_tchla_1.6",15.4134741145591
3,2,3,0.2,-0.13,-0.15,0,2017-03-13,"PHY_tchla_1.6",15.0210273778296
3,2,3,0.2,-0.13,-0.15,0,2017-03-14,"PHY_tchla_1.6",15.1856770508199
3,2,3,0.2,-0.13,-0.15,0,2017-03-15,"PHY_tchla_1.6",15.186356132179
3,2,3,0.2,-0.13,-0.15,0,2017-03-16,"PHY_tchla_1.6",15.2336494315441
3,2,3,0.2,-0.13,-0.15,0,2017-03-17,"PHY_tchla_1.6",15.1935381448975
3,2,3,0.2,-0.13,-0.15,0,2017-03-18,"PHY_tchla_1.6",15.1529683820556
3,2,3,0.2,-0.13,-0.15,0,2017-03-19,"PHY_tchla_1.6",15.7403820576962
3,2,3,0.2,-0.13,-0.15,0,2017-03-20,"PHY_tchla_1.6",15.4167136900837
3,2,3,0.2,-0.13,-0.15,0,2017-03-21,"PHY_tchla_1.6",15.3926580193252
3,2,3,0.2,-0.13,-0.15,0,2017-03-22,"PHY_tchla_1.6",14.9923093657844
3,2,3,0.2,-0.13,-0.15,0,2017-03-23,"PHY_tchla_1.6",14.5985293968666
3,2,3,0.2,-0.13,-0.15,0,2017-03-24,"PHY_tchla_1.6",14.5437145696871
3,2,3,0.2,-0.13,-0.15,0,2017-03-25,"PHY_tchla_1.6",13.2539006513731
3,2,3,0.2,-0.13,-0.15,0,2017-03-26,"PHY_tchla_1.6",14.7534895425825
3,2,3,0.2,-0.13,-0.15,0,2017-03-27,"PHY_tchla_1.6",14.4780639505382
3,2,3,0.2,-0.13,-0.15,0,2017-03-28,"PHY_tchla_1.6",14.2465454009054
3,2,3,0.2,-0.13,-0.15,0,2017-03-29,"PHY_tchla_1.6",13.8950160371859
3,2,3,0.2,-0.13,-0.15,0,2017-03-30,"PHY_tchla_1.6",12.9931887031165
3,2,3,0.2,-0.13,-0.15,0,2017-03-31,"PHY_tchla_1.6",14.2902969632364
3,2,3,0.2,-0.13,-0.15,0,2017-04-01,"PHY_tchla_1.6",14.1147436575506
3,2,3,0.2,-0.13,-0.15,0,2017-04-02,"PHY_tchla_1.6",12.7192616101498
3,2,3,0.2,-0.13,-0.15,0,2017-04-03,"PHY_tchla_1.6",12.401535659947
3,2,3,0.2,-0.13,-0.15,0,2017-04-04,"PHY_tchla_1.6",12.1779565567606
3,2,3,0.2,-0.13,-0.15,0,2017-04-05,"PHY_tchla_1.6",12.2614960984033
3,2,3,0.2,-0.13,-0.15,0,2017-04-06,"PHY_tchla_1.6",11.7173270435983
3,2,3,0.2,-0.13,-0.15,0,2017-04-07,"PHY_tchla_1.6",12.0993810801227
3,2,3,0.2,-0.13,-0.15,0,2017-04-08,"PHY_tchla_1.6",13.7386830473028
3,2,3,0.2,-0.13,-0.15,0,2017-04-09,"PHY_tchla_1.6",13.610435106009
3,2,3,0.2,-0.13,-0.15,0,2017-04-10,"PHY_tchla_1.6",13.1080185485353
3,2,3,0.2,-0.13,-0.15,0,2017-04-11,"PHY_tchla_1.6",12.4778866244024
3,2,3,0.2,-0.13,-0.15,0,2017-04-12,"PHY_tchla_1.6",12.7263183536541
3,2,3,0.2,-0.13,-0.15,0,2017-04-13,"PHY_tchla_1.6",12.8495997102549
3,2,3,0.2,-0.13,-0.15,0,2017-04-14,"PHY_tchla_1.6",13.4892348978865
3,2,3,0.2,-0.13,-0.15,0,2017-04-15,"PHY_tchla_1.6",13.8258057059417
3,2,3,0.2,-0.13,-0.15,0,2017-04-16,"PHY_tchla_1.6",12.8749291803373
3,2,3,0.2,-0.13,-0.15,0,2017-04-17,"PHY_tchla_1.6",13.0364531690639
3,2,3,0.2,-0.13,-0.15,0,2017-04-18,"PHY_tchla_1.6",13.3462052180619
3,2,3,0.2,-0.13,-0.15,0,2017-04-19,"PHY_tchla_1.6",13.5915372612428
3,2,3,0.2,-0.13,-0.15,0,2017-04-20,"PHY_tchla_1.6",13.2548900189005
3,2,3,0.2,-0.13,-0.15,0,2017-04-21,"PHY_tchla_1.6",13.68605032231
3,2,3,0.2,-0.13,-0.15,0,2017-04-22,"PHY_tchla_1.6",14.2490299391166
3,2,3,0.2,-0.13,-0.15,0,2017-04-23,"PHY_tchla_1.6",14.6530652053465
3,2,3,0.2,-0.13,-0.15,0,2017-04-24,"PHY_tchla_1.6",13.8959860194311
3,2,3,0.2,-0.13,-0.15,0,2017-04-25,"PHY_tchla_1.6",14.4664063753682
3,2,3,0.2,-0.13,-0.15,0,2017-04-26,"PHY_tchla_1.6",12.9987205811996
3,2,3,0.2,-0.13,-0.15,0,2017-04-27,"PHY_tchla_1.6",12.5543824000469
3,2,3,0.2,-0.13,-0.15,0,2017-04-28,"PHY_tchla_1.6",11.8535782577864
3,2,3,0.2,-0.13,-0.15,0,2017-04-29,"PHY_tchla_1.6",11.0357419325948
3,2,3,0.2,-0.13,-0.15,0,2017-04-30,"PHY_tchla_1.6",9.84470134819627
3,2,3,0.2,-0.13,-0.15,0,2017-05-01,"PHY_tchla_1.6",8.17434624319599
3,2,3,0.2,-0.13,-0.15,0,2017-05-02,"PHY_tchla_1.6",11.0750168075785
3,2,3,0.2,-0.13,-0.15,0,2017-05-03,"PHY_tchla_1.6",17.554330511167
