"R_growth_cyano","R_growth_green","R_growth_diatom","w_p_cyano","w_p_green","w_p_diatom","deviation","datetime","variable","prediction"
3,2,3,0.2,-0.13,-0.15,0,2018-08-06,"PHY_tchla_1.6",12.5582994758792
3,2,3,0.2,-0.13,-0.15,0,2018-08-07,"PHY_tchla_1.6",10.8984505365651
3,2,3,0.2,-0.13,-0.15,0,2018-08-08,"PHY_tchla_1.6",11.1728681538712
3,2,3,0.2,-0.13,-0.15,0,2018-08-09,"PHY_tchla_1.6",12.67392474102
3,2,3,0.2,-0.13,-0.15,0,2018-08-10,"PHY_tchla_1.6",13.9723545060655
3,2,3,0.2,-0.13,-0.15,0,2018-08-11,"PHY_tchla_1.6",13.19944588129
3,2,3,0.2,-0.13,-0.15,0,2018-08-12,"PHY_tchla_1.6",11.1857865366044
3,2,3,0.2,-0.13,-0.15,0,2018-08-13,"PHY_tchla_1.6",13.8931256491341
3,2,3,0.2,-0.13,-0.15,0,2018-08-14,"PHY_tchla_1.6",13.313968443514
3,2,3,0.2,-0.13,-0.15,0,2018-08-15,"PHY_tchla_1.6",13.8200778282087
3,2,3,0.2,-0.13,-0.15,0,2018-08-16,"PHY_tchla_1.6",13.2330179246988
3,2,3,0.2,-0.13,-0.15,0,2018-08-17,"PHY_tchla_1.6",13.1040880685564
3,2,3,0.2,-0.13,-0.15,0,2018-08-18,"PHY_tchla_1.6",11.9683541323085
3,2,3,0.2,-0.13,-0.15,0,2018-08-19,"PHY_tchla_1.6",14.1234632945787
3,2,3,0.2,-0.13,-0.15,0,2018-08-20,"PHY_tchla_1.6",12.5583254445171
3,2,3,0.2,-0.13,-0.15,0,2018-08-27,"PHY_tchla_1.6",14.6293069712198
3,2,3,0.2,-0.13,-0.15,0,2018-08-28,"PHY_tchla_1.6",14.6620708173485
3,2,3,0.2,-0.13,-0.15,0,2018-08-29,"PHY_tchla_1.6",12.3205206661603
3,2,3,0.2,-0.13,-0.15,0,2018-08-30,"PHY_tchla_1.6",9.91053171775232
3,2,3,0.2,-0.13,-0.15,0,2018-08-31,"PHY_tchla_1.6",7.89441509227087
3,2,3,0.2,-0.13,-0.15,0,2018-09-01,"PHY_tchla_1.6",9.99032475195634
3,2,3,0.2,-0.13,-0.15,0,2018-09-02,"PHY_tchla_1.6",11.3982872178732
3,2,3,0.2,-0.13,-0.15,0,2018-09-03,"PHY_tchla_1.6",11.2546306115179
3,2,3,0.2,-0.13,-0.15,0,2018-09-04,"PHY_tchla_1.6",11.9791543914857
3,2,3,0.2,-0.13,-0.15,0,2018-09-05,"PHY_tchla_1.6",11.9851368879125
3,2,3,0.2,-0.13,-0.15,0,2018-09-06,"PHY_tchla_1.6",11.5774478526499
3,2,3,0.2,-0.13,-0.15,0,2018-09-07,"PHY_tchla_1.6",11.1129102428091
3,2,3,0.2,-0.13,-0.15,0,2018-09-08,"PHY_tchla_1.6",13.5038088778289
3,2,3,0.2,-0.13,-0.15,0,2018-09-09,"PHY_tchla_1.6",12.6058398612219
3,2,3,0.2,-0.13,-0.15,0,2018-09-10,"PHY_tchla_1.6",12.7782419781875
3,2,3,0.2,-0.13,-0.15,0,2018-09-11,"PHY_tchla_1.6",13.7448859750758
3,2,3,0.2,-0.13,-0.15,0,2018-09-12,"PHY_tchla_1.6",15.174013414179
3,2,3,0.2,-0.13,-0.15,0,2018-09-13,"PHY_tchla_1.6",14.8539406718935
3,2,3,0.2,-0.13,-0.15,0,2018-09-14,"PHY_tchla_1.6",14.6723218224837
3,2,3,0.2,-0.13,-0.15,0,2018-09-15,"PHY_tchla_1.6",14.6283761099
3,2,3,0.2,-0.13,-0.15,0,2018-09-16,"PHY_tchla_1.6",14.4488594799757
3,2,3,0.2,-0.13,-0.15,0,2018-09-17,"PHY_tchla_1.6",13.9937323507451
3,2,3,0.2,-0.13,-0.15,0,2018-09-18,"PHY_tchla_1.6",13.6287167766594
3,2,3,0.2,-0.13,-0.15,0,2018-09-19,"PHY_tchla_1.6",15.3073448141536
3,2,3,0.2,-0.13,-0.15,0,2018-09-20,"PHY_tchla_1.6",13.7116162437017
3,2,3,0.2,-0.13,-0.15,0,2018-09-21,"PHY_tchla_1.6",13.8486532523709
3,2,3,0.2,-0.13,-0.15,0,2018-09-22,"PHY_tchla_1.6",12.0634592338961
3,2,3,0.2,-0.13,-0.15,0,2018-09-23,"PHY_tchla_1.6",11.7847199397605
3,2,3,0.2,-0.13,-0.15,0,2018-09-24,"PHY_tchla_1.6",14.1408700410975
3,2,3,0.2,-0.13,-0.15,0,2018-09-25,"PHY_tchla_1.6",12.3742019249284
3,2,3,0.2,-0.13,-0.15,0,2018-10-01,"PHY_tchla_1.6",12.8801042126265
3,2,3,0.2,-0.13,-0.15,0,2018-10-02,"PHY_tchla_1.6",11.91824427322
3,2,3,0.2,-0.13,-0.15,0,2018-10-03,"PHY_tchla_1.6",12.4398610720754
3,2,3,0.2,-0.13,-0.15,0,2018-10-04,"PHY_tchla_1.6",12.3724962972652
3,2,3,0.2,-0.13,-0.15,0,2018-10-05,"PHY_tchla_1.6",12.5859828061237
3,2,3,0.2,-0.13,-0.15,0,2018-10-06,"PHY_tchla_1.6",12.7050786313854
3,2,3,0.2,-0.13,-0.15,0,2018-10-07,"PHY_tchla_1.6",14.3500198063022
3,2,3,0.2,-0.13,-0.15,0,2018-10-08,"PHY_tchla_1.6",12.3710018574149
3,2,3,0.2,-0.13,-0.15,0,2018-10-09,"PHY_tchla_1.6",12.6664275620254
3,2,3,0.2,-0.13,-0.15,0,2018-10-10,"PHY_tchla_1.6",13.9443689501562
3,2,3,0.2,-0.13,-0.15,0,2018-10-11,"PHY_tchla_1.6",11.8566131639279
3,2,3,0.2,-0.13,-0.15,0,2018-10-12,"PHY_tchla_1.6",9.1480171309552
3,2,3,0.2,-0.13,-0.15,0,2018-10-13,"PHY_tchla_1.6",9.58385692484042
3,2,3,0.2,-0.13,-0.15,0,2018-10-14,"PHY_tchla_1.6",10.9820915464108
3,2,3,0.2,-0.13,-0.15,0,2018-10-15,"PHY_tchla_1.6",12.0477207772061
3,2,3,0.2,-0.13,-0.15,0,2018-10-16,"PHY_tchla_1.6",12.6416039482345
3,2,3,0.2,-0.13,-0.15,0,2018-10-17,"PHY_tchla_1.6",13.4006866040183
3,2,3,0.2,-0.13,-0.15,0,2018-10-18,"PHY_tchla_1.6",15.0223374293026
3,2,3,0.2,-0.13,-0.15,0,2018-10-19,"PHY_tchla_1.6",14.9653674665467
3,2,3,0.2,-0.13,-0.15,0,2018-10-20,"PHY_tchla_1.6",14.8215275440774
3,2,3,0.2,-0.13,-0.15,0,2018-10-21,"PHY_tchla_1.6",15.924215615612
3,2,3,0.2,-0.13,-0.15,0,2018-10-22,"PHY_tchla_1.6",15.7328345150793
3,2,3,0.2,-0.13,-0.15,0,2018-10-23,"PHY_tchla_1.6",16.6442829218609
3,2,3,0.2,-0.13,-0.15,0,2018-10-24,"PHY_tchla_1.6",17.4458656316635
3,2,3,0.2,-0.13,-0.15,0,2018-10-25,"PHY_tchla_1.6",16.869350884733
3,2,3,0.2,-0.13,-0.15,0,2018-10-26,"PHY_tchla_1.6",17.435469080864
3,2,3,0.2,-0.13,-0.15,0,2018-10-27,"PHY_tchla_1.6",16.8471389057704
3,2,3,0.2,-0.13,-0.15,0,2018-10-28,"PHY_tchla_1.6",17.3770333556511
3,2,3,0.2,-0.13,-0.15,0,2018-10-29,"PHY_tchla_1.6",17.3543866744293
3,2,3,0.2,-0.13,-0.15,0,2018-10-30,"PHY_tchla_1.6",17.4266042185567
3,2,3,0.2,-0.13,-0.15,0,2018-10-31,"PHY_tchla_1.6",16.4252085818264
3,2,3,0.2,-0.13,-0.15,0,2018-11-01,"PHY_tchla_1.6",16.4932700048111
3,2,3,0.2,-0.13,-0.15,0,2018-11-02,"PHY_tchla_1.6",17.9573862107032
