"DateTime","Depth","PHY_TCHLA"
2018-08-06,1.6,4.01
2018-08-07,1.6,4.04
2018-08-08,1.6,6.26
2018-08-09,1.6,8.635
2018-08-10,1.6,10.925
2018-08-11,1.6,13.085
2018-08-12,1.6,15.545
2018-08-13,1.6,13.305
2018-08-14,1.6,9.66
2018-08-15,1.6,8.155
2018-08-16,1.6,6.96
2018-08-17,1.6,6.095
2018-08-18,1.6,6.57
2018-08-19,1.6,7.855
2018-08-20,1.6,8.08
2018-08-27,1.6,12.9
2018-08-28,1.6,12.7
2018-08-29,1.6,11.35
2018-08-30,1.6,9.439999
2018-08-31,1.6,8.8400005
2018-09-01,1.6,7.66
2018-09-02,1.6,7.405
2018-09-03,1.6,5.18
2018-09-04,1.6,3.855
2018-09-05,1.6,3.54
2018-09-06,1.6,3.11
2018-09-07,1.6,3.24
2018-09-08,1.6,3.51
2018-09-09,1.6,5.55
2018-09-10,1.6,8.93
2018-09-11,1.6,8.67
2018-09-12,1.6,7.61
2018-09-13,1.6,7.385
2018-09-14,1.6,7.815
2018-09-15,1.6,7.96
2018-09-16,1.6,8.395
2018-09-17,1.6,9.3
2018-09-18,1.6,9.665
2018-09-19,1.6,9.475
2018-09-20,1.6,8.57
2018-09-21,1.6,8.64
2018-09-22,1.6,4.77
2018-09-23,1.6,6.11
2018-09-24,1.6,5.18
2018-09-25,1.6,2.88
2018-10-01,1.6,5.1
2018-10-02,1.6,5.21
2018-10-03,1.6,4.72
2018-10-04,1.6,3.91
2018-10-05,1.6,4.675
2018-10-06,1.6,5.565
2018-10-07,1.6,5.53
2018-10-08,1.6,4.345
2018-10-09,1.6,4.72
2018-10-10,1.6,5.86
2018-10-11,1.6,5.015
2018-10-12,1.6,3.545
2018-10-13,1.6,3.37
2018-10-14,1.6,3.67
2018-10-15,1.6,2.6
2018-10-16,1.6,3.295
2018-10-17,1.6,3.12
2018-10-18,1.6,3.915
2018-10-19,1.6,4.2
2018-10-20,1.6,5.54
